Gamma Time,Request Time,Receive Time,Response Time
0.15917490163262202,0.15938854217529297,0.7580349445343018,1.3593780994415283
0.4103610542257896,0.41068434715270996,1.9259684085845947,2.026359796524048
0.5950056833866034,0.5952281951904297,2.0841639041900635,2.18449068069458
0.7524459138500575,0.7526321411132812,2.2366433143615723,2.336960554122925
0.8626556120691574,0.8627638816833496,2.3983800411224365,2.4987266063690186
1.0702874710578794,1.0705106258392334,2.570261001586914,2.6705970764160156
1.1853913108916072,1.1855278015136719,2.7333571910858154,2.833695888519287
1.6300961934981386,1.6303231716156006,2.8925535678863525,2.9928600788116455
2.2930786299089014,2.2938039302825928,3.047546625137329,3.147886276245117
2.3897990500893522,2.389942169189453,3.21441912651062,3.31477427482605
2.703578278083186,2.70391583442688,3.3709681034088135,3.4712822437286377
2.8541130999905038,2.8543055057525635,3.5263431072235107,3.6266512870788574
3.0219996693382685,3.0222208499908447,3.6962625980377197,3.7965948581695557
3.5416505001233567,3.542198657989502,3.8480117321014404,3.9483401775360107
3.556387571105926,3.556457281112671,4.000201940536499,4.1005048751831055
3.574619776929726,3.574692964553833,4.1586620807647705,4.2589850425720215
3.578704894266571,3.5787646770477295,4.313086032867432,4.413426399230957
3.9362024301895486,3.9366018772125244,4.471310377120972,4.571627616882324
4.237359276562592,4.2377097606658936,4.625787734985352,4.726148366928101
4.645422132751702,4.64588737487793,4.783524036407471,4.88383150100708
5.414466500385072,5.414809226989746,5.476467847824097,5.576766014099121
5.735514412175101,5.735881805419922,5.78316330909729,5.883509397506714
5.859300303897695,5.859473705291748,5.932552337646484,6.0328919887542725
6.162607499273725,6.16280722618103,6.22677755355835,6.327182054519653
6.187782381639834,6.187880516052246,6.3782265186309814,6.478568077087402
6.392068758918248,6.392315149307251,6.538379430770874,6.6387152671813965
6.4230146954637775,6.423109531402588,6.691298246383667,6.791613340377808
7.001898785402083,7.002527236938477,7.052383661270142,7.152691602706909
7.149464241064295,7.149660587310791,7.2107884883880615,7.311121225357056
7.256577384724446,7.256721496582031,7.36277961730957,7.463104486465454
7.318033455342537,7.318135499954224,7.52231240272522,7.622634172439575
7.615684423087884,7.616018772125244,7.6725780963897705,7.772865295410156
7.737500906348501,7.737674236297607,7.823480844497681,7.923771858215332
7.905567847722024,7.905778646469116,7.992859125137329,8.093191862106323
7.9093615620545,7.909454107284546,8.1458580493927,8.246196985244751
8.101637747893472,8.101853370666504,8.30416750907898,8.40448784828186
8.291037083462227,8.291254997253418,8.471536874771118,8.57184910774231
8.482946678008075,8.483165740966797,8.635761976242065,8.736063718795776
9.05852969375628,9.05878233909607,9.129712343215942,9.230045080184937
9.287557485486355,9.28783631324768,9.345642328262329,9.445972442626953
9.376661184032603,9.37679386138916,9.505564212799072,9.605890035629272
9.4915676657841,9.491720199584961,9.656096696853638,9.756359815597534
9.730789226010774,9.73107624053955,9.807793378829956,9.908072471618652
9.743212285195836,9.743304014205933,9.967463493347168,10.067760944366455
9.962994781207444,9.963240385055542,10.130228042602539,10.230536460876465
10.18511426786632,10.18537974357605,10.287667036056519,10.38798713684082
10.232355608933121,10.232443571090698,10.441929817199707,10.542291641235352
10.259961346459612,10.26009464263916,10.59748101234436,10.6978440284729
10.335753739686908,10.335865259170532,10.752771854400635,10.85307240486145
10.426174150956184,10.426307678222656,10.918572425842285,11.018837451934814
10.595059707086365,10.595264673233032,11.074046850204468,11.174373865127563
10.710524569272284,10.710680723190308,11.23097848892212,11.331268787384033
11.601424045394094,11.602354764938354,11.658658504486084,11.758999347686768
11.622951067901152,11.623046875,11.818174600601196,11.918478727340698
11.669811371027743,11.66991662979126,11.98015809059143,12.080484867095947
11.704994081714663,11.705086708068848,12.139573574066162,12.239885568618774
11.916742626695946,11.916996955871582,12.292446613311768,12.392727375030518
11.9751587336774,11.975255250930786,12.45190143585205,12.552196025848389
12.100747049892238,12.100927114486694,12.61202073097229,12.712329864501953
12.15680245263281,12.156902074813843,12.764535188674927,12.864840984344482
12.19142794318745,12.191522121429443,12.923725605010986,13.024044275283813
12.21481902559568,12.21492075920105,13.07429814338684,13.174593925476074
12.428433463555509,12.428690433502197,13.224731683731079,13.32503867149353
12.458175917833167,12.458271980285645,13.375190258026123,13.475494146347046
12.501952038374174,12.502044916152954,13.526177883148193,13.62650728225708
12.593954831486117,12.594099998474121,13.68637752532959,13.786683559417725
12.938021161841727,12.938422203063965,13.838660478591919,13.938969135284424
12.958450139174639,12.95854377746582,13.997765064239502,14.098095178604126
13.322413924053642,13.32280421257019,14.150123834609985,14.250449657440186
13.342620880614689,13.342716455459595,14.30889344215393,14.409200668334961
